: 1563297928:0;mkdir C:
: 1563297996:0;mkdir Programs
: 1563298003:0;mk dir Windows USers
: 1563298013:0;mkdir Windows
: 1563298022:0;mkdir Users
: 1563298054:0;mkdir file1
: 1563298072:0;cp file1
: 1563298086:0;cp -r file1
: 1563298091:0;cp r file1
: 1563298101:0;cp file1 -r
: 1563298127:0;mkdir file2
: 1563298130:0;mkdir file3
: 1563298134:0;mkdir file4
: 1563298139:0;mkdir file5
: 1563298141:0;mkdir file6
: 1563298144:0;mkdir file7
: 1563298146:0;mkdir file8
: 1563298149:0;mkdir file9
: 1563298151:0;mkdir file10
: 1563298176:0;cd file1
: 1563298252:0;rm -r file10
: 1563298258:0;rm -r file2
: 1563298267:0;rm -r file3
: 1563298273:0;rm -r file4
: 1563298277:0;rm -r file5
: 1563298283:0;rm -r file6
: 1563298289:0;rm -r file7
: 1563298298:0;rm -r file8
: 1563298306:0;rm -r file9
: 1563298324:0;mkdir folder1
: 1563298327:0;mkdir folder2
: 1563298329:0;mkdir folder3
: 1563298331:0;mkdir folder4
: 1563298334:0;mkdir folder5
: 1563298336:0;mkdir folder6
: 1563298338:0;mkdir folder7
: 1563298340:0;mkdir folder8
: 1563298342:0;mkdir folder9
: 1563298345:0;mkdir folder10
: 1563298389:0;touch file1.txt
: 1563298392:0;touch file2.txt
: 1563299018:0;cp folder1 folder2
: 1563299058:0;cd folder1
: 1563299079:0;copy file1 folder2
: 1563299086:0;cp file1 folder2
: 1563299118:0;cp folder1/file1 folder2
: 1563299127:0;cp folder1/file1 folder2/
: 1563299170:0;cp folder1/file1.txt folder2/
: 1563299189:0;cp folder1/file2.txt folder2/
: 1563299195:0;ls folder2/
: 1563299232:0;cp folder2/file1.txt folder3 
: 1563299236:0;cp folder2/file2.txt folder3 
: 1563299241:0;ls folder3
: 1563299258:0;cp folder3/file1.txt folder4
: 1563299262:0;cp folder3/file2.txt folder4
: 1563299268:0;ls folder 4
: 1563299272:0;ls folder4
: 1563299287:0;cp folder4/file2.txt folder5
: 1563299292:0;cp folder4/file1.txt folder5
: 1563299302:0;cp folder5/file1.txt folder6
: 1563299308:0;cp folder5/file2.txt folder6
: 1563299316:0;cp folder7/file2.txt folder7
: 1563299323:0;cp folder6/file2.txt folder7
